"subclass","OA_01","OA_02","OA_03","X1i_2i_01","X1i_2i_02","X1i_2i_03"
"DG(16:0)",18205744,18279004,17901344,17158328,19625430,19537616
"DG(18:0)",19608948,22300290,18396952,19659804,18147422,17878448
"DG(20:0)",4719036,4931338,3469068,3160566,3981964,4367508
"DG(24:0)",31903772,19197830,26851182,30354464,29304026,56409284
"DG(24:1)",8314124,10299637,12456914,5523616,6442222,8807866
"DG(24:3)",1695201920,1591692800,1888516992,812550144,1052185152,894688192
"DG(26:1)",6734506,6674029,2247578,6579510,3199207,43946772
"DG(26:2)",86212528,83198256,87573184,34029680,30525020,31507632
"DG(26:3)",21731684,21567834,22319776,8633930,9486455,10129903
"DG(26:4)",178054240,175753232,180207184,67164056,78777792,77900648
"DG(28:2)",43295925,36308609,52351954,43780361,25325249,26428081
"DG(28:3)",3633081,1609172,3104924,3972609,5532362,2013210
"DG(30:0)",302049888,250119328,271768384,87031168,145770768,156211168
"DG(30:1)",84521112,82982000,55624542,32108054,50661913,24243079
"DG(30:2)",1174724480,582687424,897394624,197728608,1027650304,861752448
"DG(30:3)",5070071,7077946,4777772,8025858,4038777,32280602
"DG(30:4)",17998932,15597111,25041270,5176850,5091774,6744861
"DG(30:6)",485200800,405318720,430747456,419298400,372366016,399428512
"DG(32:0)",304163184,223896288,288292824,93588344,228934624,229720352
"DG(32:1)",328223262,252179464,232280006,111379052,170142704,211243640
"DG(32:2)",121857808,72771384,91014400,25621126,81250624,75108240
"DG(32:3)",35322456,28668378,30312517,16617970,15952103,17618200
"DG(32:7)",8513218,10480782,24726496,7046694,6999475,6076006
"DG(34:0)",200245296,220820788,316932830,95538778,156658694,190309324
"DG(34:1)",2051566844,1528676200,1862182476,740330562,1354339856,1323442136
"DG(34:2)",4843508106,3519703360,4382800288,1454004028,3240274752,3106828928
"DG(34:3)",795445724,490904388,633610500,287103746,601437464,562576474
"DG(34:4)",27013146,22792204,27671684,4558852,19624600,13779113
"DG(34:7)",237006928,216214224,177002672,142504112,105241120,137863440
"DG(36:0)",148785600,179467596,245975956,121448128,149026468,181269840
"DG(36:1)",3208406272,2567629760,2980637120,1411159424,2466778112,2420217728
"DG(36:2)",14919561454,13716056627,16353113963,4866834866,8022721461,7503751046
"DG(36:3)",3842025088,2617479968,3348081088,1101737968,2749318080,2546497760
"DG(36:4)",1331426352,1005980870,1069697184,734816973,1089689324,957850508
"DG(36:5)",1235133968,1001605312,1314773040,911919816,1463948608,1162529792
"DG(36:6)",83959656,93617728,92807472,76471080,101013736,79903320
